id,country,p.type,p.freq,p.year,p.area,loss_pa,subregion,climadomain,GDPpcPPP,income00
4397,St. Lucia,1,100,2,11.7,6.5907,Caribbean,Tropical,7910.1103,UM
4398,St. Lucia,1,100,3,19.53,6.5907,Caribbean,Tropical,7910.1103,UM
4399,St. Lucia,1,100,4,41.58,6.5907,Caribbean,Tropical,7910.1103,UM
4400,St. Lucia,1,100,5,52.56,6.5907,Caribbean,Tropical,7910.1103,UM
4401,St. Lucia,1,98.54014599,6,42.39,6.5907,Caribbean,Tropical,7910.1103,UM
4402,St. Lucia,2,1.459854015,6,55.35,6.5907,Caribbean,Tropical,7910.1103,UM
4403,St. Lucia,1,100,7,48.15,6.5907,Caribbean,Tropical,7910.1103,UM
4404,St. Lucia,1,100,8,56.34,6.5907,Caribbean,Tropical,7910.1103,UM
4405,St. Lucia,1,100,9,54.54,6.5907,Caribbean,Tropical,7910.1103,UM
4406,St. Lucia,1,100,10,99.54,6.5907,Caribbean,Tropical,7910.1103,UM
4407,St. Lucia,1,100,11,60.84,6.5907,Caribbean,Tropical,7910.1103,UM
4408,St. Lucia,1,100,12,62.73,6.5907,Caribbean,Tropical,7910.1103,UM
4409,St. Lucia,1,100,13,22.68,6.5907,Caribbean,Tropical,7910.1103,UM
4423,St. Vincent and the Grenadines,1,100,1,6.39,2.7234,Caribbean,Tropical,5995.0126,LM
4424,St. Vincent and the Grenadines,1,100,2,6.84,2.7234,Caribbean,Tropical,5995.0126,LM
4425,St. Vincent and the Grenadines,1,100,3,8.37,2.7234,Caribbean,Tropical,5995.0126,LM
4426,St. Vincent and the Grenadines,1,100,4,18.36,2.7234,Caribbean,Tropical,5995.0126,LM
4427,St. Vincent and the Grenadines,1,100,5,14.4,2.7234,Caribbean,Tropical,5995.0126,LM
4428,St. Vincent and the Grenadines,1,100,6,10.8,2.7234,Caribbean,Tropical,5995.0126,LM
4429,St. Vincent and the Grenadines,1,100,7,22.68,2.7234,Caribbean,Tropical,5995.0126,LM
4430,St. Vincent and the Grenadines,1,100,8,38.79,2.7234,Caribbean,Tropical,5995.0126,LM
4431,St. Vincent and the Grenadines,1,100,9,26.91,2.7234,Caribbean,Tropical,5995.0126,LM
4432,St. Vincent and the Grenadines,1,100,10,58.32,2.7234,Caribbean,Tropical,5995.0126,LM
4433,St. Vincent and the Grenadines,1,100,11,28.53,2.7234,Caribbean,Tropical,5995.0126,LM
4434,St. Vincent and the Grenadines,1,100,12,21.96,2.7234,Caribbean,Tropical,5995.0126,LM
4435,St. Vincent and the Grenadines,1,100,13,9.99,2.7234,Caribbean,Tropical,5995.0126,LM
4436,Sudan,1,99.99175869,1,2721.78,461.8971,N Africa,Tropical,1898.7344,L
4437,Sudan,2,0.008241305,1,13.68,461.8971,N Africa,Tropical,1898.7344,L
4438,Sudan,1,99.9430884,2,3550.68,461.8971,N Africa,Tropical,1898.7344,L
4439,Sudan,2,0.050588087,2,225.72,461.8971,N Africa,Tropical,1898.7344,L
4440,Sudan,3,0.006323511,2,162.63,461.8971,N Africa,Tropical,1898.7344,L
4441,Sudan,1,99.95671932,3,1030.32,461.8971,N Africa,Tropical,1898.7344,L
4442,Sudan,2,0.043280675,3,24.57,461.8971,N Africa,Tropical,1898.7344,L
4443,Sudan,1,99.99466183,4,4921.02,461.8971,N Africa,Tropical,1898.7344,L
4444,Sudan,2,0.005338173,4,11.07,461.8971,N Africa,Tropical,1898.7344,L
4445,Sudan,1,99.97501718,5,4659.39,461.8971,N Africa,Tropical,1898.7344,L
4446,Sudan,2,0.024982824,5,50.94,461.8971,N Africa,Tropical,1898.7344,L
4447,Sudan,1,100,6,3711.96,461.8971,N Africa,Tropical,1898.7344,L
4448,Sudan,1,99.9657671,7,4766.49,461.8971,N Africa,Tropical,1898.7344,L
4449,Sudan,2,0.034232898,7,76.68,461.8971,N Africa,Tropical,1898.7344,L
4450,Sudan,1,99.96514708,8,4043.88,461.8971,N Africa,Tropical,1898.7344,L
4451,Sudan,2,0.034852921,8,97.74,461.8971,N Africa,Tropical,1898.7344,L
